,0
0,20.864422202001816
1,14.092980856882406
2,11.55820348304308
3,11.812327506899724
4,14.110091743119266
5,12.276051188299816
6,10.584474885844749
7,13.777372262773724
8,13.518181818181818
9,13.520871143375683
10,13.78623188405797
11,14.53971119133574
12,16.74147217235188
13,15.876565295169948
14,16.31016042780749
15,16.57497781721384
16,17.20353982300885
17,17.68281938325991
18,18.75219683655536
19,17.769028871391075
20,17.027027027027028
21,17.269565217391303
22,16.334488734835357
23,14.94809688581315
24,14.767241379310345
25,14.457831325301203
26,13.90557939914163
27,15.23890784982935
28,14.82553191489362
29,14.008474576271187
30,13.080168776371309
31,13.042016806722689
32,12.167364016736402
33,11.484570475396163
34,11.75394846217789
35,13.570836785418392
36,14.867986798679866
37,14.75328947368421
38,15.941080196399346
39,17.116165718927704
40,16.265157639450283
41,16.156325543916196
42,15.887550200803213
43,14.923694779116465
44,15.697115384615385
45,16.028708133971293
46,15.774424146147737
47,16.706254948535236
48,17.929411764705883
49,17.2734375
50,15.855365474339036
51,14.297905352986811
52,14.097598760650659
53,12.85604311008468
54,14.13793103448276
55,20.752279635258358
56,25.290566037735847
57,27.016491754122935
58,24.181002243829468
59,20.32786885245902
60,18.73051224944321
61,15.19287833827893
62,14.76261127596439
63,15.41820873427091
64,15.656342182890857
65,14.84558823529412
66,15.712187958883995
67,15.87847730600293
68,15.978102189781021
69,16.931486880466473
70,16.29898403483309
71,14.109985528219973
72,13.586406362979028
73,13.715728715728718
74,13.601725377426312
75,14.512195121951219
76,15.017895490336436
77,15.981441827266242
78,15.501779359430607
79,15.156249999999998
80,15.506732813607371
81,15.306986591390261
82,14.313863476425054
83,13.640196767392831
84,13.326330532212886
85,14.039133473095738
86,14.180041870202373
87,14.082058414464532
88,13.834951456310678
89,13.22938322938323
90,12.380622837370241
91,12.437845303867404
92,12.068965517241379
93,12.465659340659341
94,11.376712328767123
95,9.924812030075186
96,10.273410799726589
97,10.074982958418541
98,9.979605710401088
99,11.154891304347828
100,12.128813559322033
101,12.887085868830289
102,13.247978436657682
103,12.335570469798657
104,11.687876758204956
105,11.86077643908969
106,12.06275033377837
107,11.432378414390406
108,11.986710963455149
109,12.306163021868786
110,12.261904761904763
111,13.109354413702237
112,12.978303747534516
113,12.106299212598424
114,11.356487549148099
115,11.785480706344014
116,11.907250163291968
117,11.355048859934854
118,11.704619388418998
119,12.365172189733594
120,12.191338073691016
121,12.316129032258065
122,13.717041800643084
123,15.054452274183216
124,13.535805626598465
125,13.031269942565412
126,13.566878980891719
127,13.931297709923665
128,15.1997463538364
129,15.72692793931732
130,14.940138626339007
131,15.857950974230045
132,15.765370138017564
133,13.888541014402003
134,13.122653316645804
135,12.320200125078173
136,13.02063789868668
137,12.022471910112362
138,12.256857855361595
139,12.406716417910445
140,12.282878411910671
141,13.207430340557275
142,12.486085343228202
143,11.328800988875152
144,10.320987654320987
145,9.913580246913579
146,9.333333333333332
147,9.463625154130703
148,9.169741697416974
149,8.427518427518427
150,8.682598039215687
151,8.243574051407588
152,9.192660550458715
153,8.822452715070165
154,7.921998781230958
155,6.90389294403893
156,7.601700060716454
157,7.292046144505162
158,8.907766990291261
159,10.433996383363471
160,10.674698795180722
161,10.795180722891567
162,12.057588482303542
163,12.734889287851587
164,14.183551847437425
165,13.49791790600833
166,14.84560570071259
167,15.462085308056873
168,16.101594802126403
169,17.276470588235295
170,17.450292397660817
171,15.049736688121707
172,16.81658878504673
173,18.478513356562136
174,17.197452229299365
175,18.100752750434282
176,19.516129032258068
177,19.03967797584819
178,19.758897818599312
179,16.288659793814432
180,16.850797266514807
181,16.823863636363637
182,15.474162407722886
183,15.583900226757368
184,16.14777213761985
185,15.53179516038267
186,14.898534385569334
187,15.428410372040585
